cov_name,fpath_append,type,start_month,start_year,end_month,end_year,fpath,fname,used_sam,other_var,othervar_start,othervar_end
EVI,,yearmon,2,2000,12,2017,MODIS_Global/MCD43D6_v6_BRDF_Reflectance/EVI_v6/5km/Monthly,EVI_v6.YEAR.MONTH.mean.5km.mean.tif,T,,,
LST_day,,yearmon,2,2000,12,2017,MODIS_Global/MOD11A2_v6_LST/LST_Day/5km/Monthly,LST_Day_v6.YEAR.MONTH.mean.5km.mean.tif,T,,,
LST_night,,yearmon,2,2000,12,2017,MODIS_Global/MOD11A2_v6_LST/LST_Night/5km/Monthly,LST_Night_v6.YEAR.MONTH.mean.5km.mean.tif,T,,,
TCW,,yearmon,2,2000,12,2017,MODIS_Global/MCD43D6_v6_BRDF_Reflectance/TCW_v6/5km/Monthly,TCW_v6.YEAR.MONTH.mean.5km.mean.tif,T,,,
TSI,,yearmon,4,2000,12,2016,Other_Global_Covariates/TemperatureSuitability/TSI_Pf_Dynamic/5km/Monthly,TSI-Martens2-Pf.YEAR.MONTH.Data.5km.Data.tif,T,,,
LST_delta,,yearmon,2,2000,12,2017,MODIS_Global/MOD11A2_v6_LST/LST_DiurnalDifference/5km/Monthly,LST_DiurnalDiff_v6.YEAR.MONTH.mean.5km.mean.tif,F,,,
TCB,,yearmon,2,2000,12,2017,MODIS_Global/MCD43D6_v6_BRDF_Reflectance/TCB_v6/5km/Monthly,TCB_v6.YEAR.MONTH.mean.5km.mean.tif,F,,,
Population,,year,,2000,,2020,Other_Global_Covariates/Population/Worldpop_GPWv4_Hybrid_201708/5km,Global_Hybrid_Pop_v2_5km_sum_UNAdj_YEAR.tif,T,,,
IGBP_Landcover,Fraction,year,,2001,,2013,,YEAR.fraction.class.FRACTIONCLASS.tif,T,FRACTIONCLASS,0,16
Landcover_0_Water,,year,,2001,,2013,MODIS_Global/MCD12Q1_v051_Annual_Landcover/IGBP_Landcover_Class00/5km/Annual,IGBP_Landcover_Class00_Water.YEAR.Annual.Data.5km.like-adjacency.tif,T,,,
Landcover_1_Evergreen_Needleleaf_Forest,,year,,2001,,2013,MODIS_Global/MCD12Q1_v051_Annual_Landcover/IGBP_Landcover_Class01/5km/Annual,IGBP_Landcover_Class01_Evergreen_Needleleaf_Forest.YEAR.Annual.Data.5km.like-adjacency.tif,T,,,
Landcover_2_Evergreen_Broadleaf_Forest,,year,,2001,,2013,MODIS_Global/MCD12Q1_v051_Annual_Landcover/IGBP_Landcover_Class02/5km/Annual,IGBP_Landcover_Class02_Evergreen_Broadleaf_Forest.YEAR.Annual.Data.5km.like-adjacency.tif,T,,,
Landcover_3_Deciduous_Needleleaf_Forest,,year,,2001,,2013,MODIS_Global/MCD12Q1_v051_Annual_Landcover/IGBP_Landcover_Class03/5km/Annual,IGBP_Landcover_Class03_Deciduous_Needleleaf_Forest.YEAR.Annual.Data.5km.like-adjacency.tif,T,,,
Landcover_4_Deciduous_Broadleaf_Forest,,year,,2001,,2013,MODIS_Global/MCD12Q1_v051_Annual_Landcover/IGBP_Landcover_Class04/5km/Annual,IGBP_Landcover_Class04_Deciduous_Broadleaf_Forest.YEAR.Annual.Data.5km.like-adjacency.tif,T,,,
Landcover_5_Mixed_Forest,,year,,2001,,2013,MODIS_Global/MCD12Q1_v051_Annual_Landcover/IGBP_Landcover_Class05/5km/Annual,IGBP_Landcover_Class05_Mixed_Forest.YEAR.Annual.Data.5km.like-adjacency.tif,T,,,
Landcover_6_Closed_Shrublands,,year,,2001,,2013,MODIS_Global/MCD12Q1_v051_Annual_Landcover/IGBP_Landcover_Class06/5km/Annual,IGBP_Landcover_Class06_Closed_Shrublands.YEAR.Annual.Data.5km.like-adjacency.tif,T,,,
Landcover_7_Open_Shrublands,,year,,2001,,2013,MODIS_Global/MCD12Q1_v051_Annual_Landcover/IGBP_Landcover_Class07/5km/Annual,IGBP_Landcover_Class07_Open_Shrublands.YEAR.Annual.Data.5km.like-adjacency.tif,T,,,
Landcover_8_Woody_Savannas,,year,,2001,,2013,MODIS_Global/MCD12Q1_v051_Annual_Landcover/IGBP_Landcover_Class08/5km/Annual,IGBP_Landcover_Class08_Woody_Savannas.YEAR.Annual.Data.5km.like-adjacency.tif,T,,,
Landcover_9_Savannas,,year,,2001,,2013,MODIS_Global/MCD12Q1_v051_Annual_Landcover/IGBP_Landcover_Class09/5km/Annual,IGBP_Landcover_Class09_Savannas.YEAR.Annual.Data.5km.like-adjacency.tif,T,,,
Landcover_10_Grasslands,,year,,2001,,2013,MODIS_Global/MCD12Q1_v051_Annual_Landcover/IGBP_Landcover_Class10/5km/Annual,IGBP_Landcover_Class10_Grasslands.YEAR.Annual.Data.5km.like-adjacency.tif,T,,,
Landcover_11_Permanent_Wetlands,,year,,2001,,2013,MODIS_Global/MCD12Q1_v051_Annual_Landcover/IGBP_Landcover_Class11/5km/Annual,IGBP_Landcover_Class11_Permanent_Wetlands.YEAR.Annual.Data.5km.like-adjacency.tif,T,,,
Landcover_12_Croplands,,year,,2001,,2013,MODIS_Global/MCD12Q1_v051_Annual_Landcover/IGBP_Landcover_Class12/5km/Annual,IGBP_Landcover_Class12_Croplands.YEAR.Annual.Data.5km.like-adjacency.tif,T,,,
Landcover_14_Cropland_Natural_Vegetation_Mosaic,,year,,2001,,2013,MODIS_Global/MCD12Q1_v051_Annual_Landcover/IGBP_Landcover_Class14/5km/Annual,IGBP_Landcover_Class14_Cropland_Natural_Vegetation_Mosaic.YEAR.Annual.Data.5km.like-adjacency.tif,T,,,
Landcover_15_Snow_And_Ice,,year,,2001,,2013,MODIS_Global/MCD12Q1_v051_Annual_Landcover/IGBP_Landcover_Class15/5km/Annual,IGBP_Landcover_Class15_Snow_And_Ice.YEAR.Annual.Data.5km.like-adjacency.tif,T,,,
Landcover_16_Barren_Or_Sparsely_Populated,,year,,2001,,2013,MODIS_Global/MCD12Q1_v051_Annual_Landcover/IGBP_Landcover_Class16/5km/Annual,IGBP_Landcover_Class16_Barren_Or_Sparsely_Populated.YEAR.Annual.Data.5km.like-adjacency.tif,T,,,
PET,,static,,,,,Other_Global_Covariates/PET_v2/5km/Synoptic,PET_v2.Synoptic.Overall.Data.5km.mean.tif,T,,,
Aridity,,static,,,,,Other_Global_Covariates/Aridity_v2/5km/Synoptic,Aridity_Index_v2.Synoptic.Overall.Data.5km.mean.tif,T,,,
Accessibility,,static,,,,,Other_Global_Covariates/Accessibility/5km/Annual,Accessibility.2015.Annual.Data.5km.mean.tif,T,,,
NightTimeLights,,static,,,,,Other_Global_Covariates/NightTimeLights/VIIRS_DNB_Composites/5km/Annual,VIIRS-SLC.2014.Annual.mean.5km.mean.tif,T,,,
Seasonality,,static,,,,,custom_covariates,pf_seasonality.tif,T,,,
TMI,,static,,,,,custom_covariates,Africa_TMI_90m.mean.tif,T,,,
Elevation,,static,,,,,Other_Global_Covariates/Elevation/SRTM-Elevation/5km/Synoptic,SRTM_elevation.Synoptic.Overall.Data.5km.mean.tif,T,,,
Slope,,static,,,,,Other_Global_Covariates/Elevation/SRTM-Slope/5km/Synoptic,SRTM_SlopePCT_Corrected.Synoptic.Overall.Data.5km.mean.tif,T,,,