sam_varname,new_varname
extra,llin_distribution_noise
delta_l,adjusted_llins_distributed
able,initial_stock
g.m,quarter_fractions_llin
g2.m,quarter_fractions_citn
llinD,llins_distributed_quarterly
itnD,citns_distributed_quarterly
ThetaT3,total_percapita_nets
prop1,mean_net_count_est
prop0,nonet_prop_est
mv_k2,mv_k_citn
mv_L2,mv_L_citn
ThetaT2,quarterly_nets_in_houses_citn
ThetaM2,quarterly_nets_remaining_matrix_citn
delta,raw_llins_distributed
delta2_raw,nmcp_count_citn_est
delta_raw,nmcp_count_llin_est
mu,manufacturer_llins_est
Psi,final_stock
s_m,manufacturer_sigma
ThetaT,quarterly_nets_in_houses_llin
ThetaM,quarterly_nets_remaining_matrix_llin
mv_k,mv_k_llin
mv_L,mv_L_llin